option_id,option_type,name,source_content,source_section,location,prerequisite_or_condition,related_property_or_role,flags,route_treatment,citations,notes
NPCOPT-000109,personal_steward_candidate,Jordis the Sword-Maiden,base_game,Personal Steward - Skyrim,,Become Thane of Haafingar,Hearthfire homestead or Goldenhills steward candidate,type=Housecarl | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000110,personal_steward_candidate,Lob,base_game,Personal Steward - Skyrim,,The Cursed Tribe,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Orc | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000111,personal_steward_candidate,Lydia,base_game,Personal Steward - Skyrim,,Dragon Rising,Hearthfire homestead or Goldenhills steward candidate,type=Housecarl | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000112,personal_steward_candidate,Marcurio,base_game,Personal Steward - Skyrim,,None,Hearthfire homestead or Goldenhills steward candidate,type=Hireling | gender=Male | race=Imperial | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000113,personal_steward_candidate,Njada Stonearm,base_game,Personal Steward - Skyrim,,Glory of the Dead,Hearthfire homestead or Goldenhills steward candidate,type=Companion | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000114,personal_steward_candidate,Ogol,base_game,Personal Steward - Skyrim,,The Cursed Tribe,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Orc | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000115,personal_steward_candidate,Onmund,base_game,Personal Steward - Skyrim,,Onmund's Request,Hearthfire homestead or Goldenhills steward candidate,type=College | gender=Male | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000116,personal_steward_candidate,Ria,base_game,Personal Steward - Skyrim,,Glory of the Dead,Hearthfire homestead or Goldenhills steward candidate,type=Companion | gender=Female | race=Imperial | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000117,personal_steward_candidate,Roggi Knot-Beard,base_game,Personal Steward - Skyrim,,Dungeon Delving (Caves) †,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000118,personal_steward_candidate,Sven,base_game,Personal Steward - Skyrim,,A Lovely Letter (in his favor),Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Nord | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000119,personal_steward_candidate,Uthgerd the Unbroken,base_game,Personal Steward - Skyrim,,Fight! Fight!,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000120,personal_steward_candidate,Vilkas,base_game,Personal Steward - Skyrim,,Glory of the Dead,Hearthfire homestead or Goldenhills steward candidate,type=Companion | gender=Male | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000121,personal_steward_candidate,Agmaer,dawnguard,Personal Steward - Dawnguard Followers,,,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Nord | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000122,personal_steward_candidate,Beleval,dawnguard,Personal Steward - Dawnguard Followers,,,Hearthfire homestead or Goldenhills steward candidate,gender=Female | race=Wood Elf | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000123,personal_steward_candidate,Celann,dawnguard,Personal Steward - Dawnguard Followers,,,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Breton | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000124,personal_steward_candidate,Durak,dawnguard,Personal Steward - Dawnguard Followers,,,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Orc | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000125,personal_steward_candidate,Ingjard,dawnguard,Personal Steward - Dawnguard Followers,,,Hearthfire homestead or Goldenhills steward candidate,gender=Female | race=Nord | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000126,personal_steward_candidate,Gregor,hearthfire,Personal Steward - Hearthfire Followers,,Become Thane of the Pale,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Nord | marry=Yes | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000127,personal_steward_candidate,Rayya,hearthfire,Personal Steward - Hearthfire Followers,,Become Thane of Falkreath,Hearthfire homestead or Goldenhills steward candidate,gender=Female | race=Redguard | marry=Yes | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000128,personal_steward_candidate,Valdimar,hearthfire,Personal Steward - Hearthfire Followers,,Become Thane of Hjaalmarch,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Nord | marry=Yes | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000129,personal_steward_candidate,Talvas Fathryon,dragonborn,Personal Steward - Dragonborn Followers,,From the Ashes,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Dark Elf | marry=No | blades=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000130,personal_steward_candidate,Rulnik Wind-Strider,ae_creation,Personal Steward - Creation Club Followers,,A Dying Wish,Hearthfire homestead or Goldenhills steward candidate,gender=Male | race=Nord | marry=Yes | blades=(?),option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000131,hearthfire_bard_service,Llewellyn the Nightingale,hearthfire,Hearthfire bards,Lakeview Manor,Hire through a personal steward after home prerequisites,Personal bard,age=Yes | ragnar=Yes | tale=Yes | instrumental=Yes,option_list,SN-000067-household-role-options.md,Source-listed Hearthfire bard performer; assignment default deferred.
NPCOPT-000132,hearthfire_bard_service,Oriella,hearthfire,Hearthfire bards,Heljarchen Hall,Hire through a personal steward after home prerequisites,Personal bard,age=Yes | tale=Yes | dragonborn=Yes | instrumental=Yes,option_list,SN-000067-household-role-options.md,Source-listed Hearthfire bard performer; assignment default deferred.
NPCOPT-000133,hearthfire_bard_service,Sonir,hearthfire,Hearthfire bards,Windstad Manor,Hire through a personal steward after home prerequisites,Personal bard,ragnar=Yes | tale=Yes | dragonborn=Yes | instrumental=Yes,option_list,SN-000067-household-role-options.md,Source-listed Hearthfire bard performer; assignment default deferred.
NPCOPT-000134,hearthfire_carriage_service,Lakeview Manor Carriage Driver Service,hearthfire,Hearthfire carriage service,Lakeview Manor,Hire through a personal steward after home prerequisites,Carriage driver,,option_list,SN-000067-household-role-options.md,Hearthfire service option; individual generated driver identity not treated as separate completion objective.
NPCOPT-000135,hearthfire_carriage_service,Windstad Manor Carriage Driver Service,hearthfire,Hearthfire carriage service,Windstad Manor,Hire through a personal steward after home prerequisites,Carriage driver,,option_list,SN-000067-household-role-options.md,Hearthfire service option; individual generated driver identity not treated as separate completion objective.
NPCOPT-000136,hearthfire_carriage_service,Heljarchen Hall Carriage Driver Service,hearthfire,Hearthfire carriage service,Heljarchen Hall,Hire through a personal steward after home prerequisites,Carriage driver,,option_list,SN-000067-household-role-options.md,Hearthfire service option; individual generated driver identity not treated as separate completion objective.
NPCOPT-000137,farmhand_candidate,Generic Goldenhills Farmhands,ae_creation,Goldenhills farmhands,Goldenhills Plantation,A Farmer's Life For Me farmhand step and Goldenhills setup,Farmhand,,option_list,SN-000067-household-role-options.md,Steward-hired pair; farm staffing default deferred.
NPCOPT-000138,farmhand_candidate,Angrenor Once-Honored,ae_creation,Goldenhills farmhands,Goldenhills Plantation,A Farmer's Life For Me farmhand step and Goldenhills setup,Farmhand,,option_list,SN-000067-household-role-options.md,Personally hireable named farmhand; farm staffing default deferred.
NPCOPT-000139,farmhand_candidate,Brenuin,ae_creation,Goldenhills farmhands,Goldenhills Plantation,A Farmer's Life For Me farmhand step and Goldenhills setup,Farmhand,,option_list,SN-000067-household-role-options.md,Personally hireable named farmhand; farm staffing default deferred.
NPCOPT-000140,farmhand_candidate,Embry,ae_creation,Goldenhills farmhands,Goldenhills Plantation,A Farmer's Life For Me farmhand step and Goldenhills setup,Farmhand,,option_list,SN-000067-household-role-options.md,Personally hireable named farmhand; farm staffing default deferred.
NPCOPT-000141,farmhand_candidate,Narfi,ae_creation,Goldenhills farmhands,Goldenhills Plantation,A Farmer's Life For Me farmhand step and Goldenhills setup,Farmhand,,option_list,SN-000067-household-role-options.md,Personally hireable named farmhand; farm staffing default deferred.
NPCOPT-000142,permanent_follower_candidate,Brelyna Maryon,base_game,Followers - College of Winterhold Followers,,Brelyna's Practice,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | moral=0 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000143,permanent_follower_candidate,J'zargo,base_game,Followers - College of Winterhold Followers,,J'zargo's Experiment,Follower eligibility,blades=Yes | moral=0 | max level=None †,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000144,permanent_follower_candidate,Onmund,base_game,Followers - College of Winterhold Followers,,Onmund's Request,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | moral=0 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000145,permanent_follower_candidate,Aela the Huntress,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000146,permanent_follower_candidate,Athis,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000147,permanent_follower_candidate,Farkas,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000148,permanent_follower_candidate,Njada Stonearm,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000149,permanent_follower_candidate,Ria,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000150,permanent_follower_candidate,Torvar,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000151,permanent_follower_candidate,Vilkas,base_game,Followers - Companions Followers,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000152,permanent_follower_candidate,Cicero,base_game,Followers - Dark Brotherhood Followers,,,Follower eligibility,moral=0 | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000153,permanent_follower_candidate,Dark Brotherhood Initiate (female),base_game,Followers - Dark Brotherhood Followers,,,Follower eligibility,moral=0 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000154,permanent_follower_candidate,Dark Brotherhood Initiate (male),base_game,Followers - Dark Brotherhood Followers,,,Follower eligibility,moral=0 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000155,permanent_follower_candidate,Agmaer,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,blades=Yes | steward hf=Yes | moral=0 | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000156,permanent_follower_candidate,Beleval,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,blades=Yes | steward hf=Yes | moral=0 | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000157,permanent_follower_candidate,Celann,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=None,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000158,permanent_follower_candidate,Durak,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=None,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000159,permanent_follower_candidate,Ingjard,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=None,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000160,permanent_follower_candidate,Serana,dawnguard,Followers - Dawnguard Followers,,,Follower eligibility,moral=3 | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000161,permanent_follower_candidate,Frea,dragonborn,Followers - Dragonborn Followers,,The Fate of the Skaal,Follower eligibility,blades=Yes | moral=3 | max level=None,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000162,permanent_follower_candidate,Talvas Fathryon,dragonborn,Followers - Dragonborn Followers,,From the Ashes,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000163,permanent_follower_candidate,Teldryn Sero,dragonborn,Followers - Dragonborn Followers,,None,Follower eligibility,blades=Yes | moral=0 | max level=60,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000164,permanent_follower_candidate,Ralis Sedarys,dragonborn,Followers - Dragonborn Followers,,Unearthed (in his favor),Follower eligibility,blades=Yes | moral=3 | max level=60,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000165,permanent_follower_candidate,Golldir,base_game,Followers - Dungeon Followers,,Ancestral Worship,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=30 | level=PC×1.0,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000166,permanent_follower_candidate,Illia,base_game,Followers - Dungeon Followers,,Repentance,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=40 | level=PC×1.0,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000167,permanent_follower_candidate,Belrand,base_game,Followers - Hirelings,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000168,permanent_follower_candidate,Erik the Slayer,base_game,Followers - Hirelings,,,Follower eligibility,blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000169,permanent_follower_candidate,Jenassa,base_game,Followers - Hirelings,,,Follower eligibility,marry=Yes | blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000170,permanent_follower_candidate,Marcurio,base_game,Followers - Hirelings,,,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000171,permanent_follower_candidate,Stenvar,base_game,Followers - Hirelings,,,Follower eligibility,marry=Yes | blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000172,permanent_follower_candidate,Vorstag,base_game,Followers - Hirelings,,,Follower eligibility,marry=Yes | blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000173,permanent_follower_candidate,Argis the Bulwark,base_game,Followers - Housecarls,,Become Thane of the Reach,Follower eligibility,marry=Yes | blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000174,permanent_follower_candidate,Calder,base_game,Followers - Housecarls,,Become Thane of Eastmarch,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000175,permanent_follower_candidate,Gregor HF,base_game,Followers - Housecarls,,Become Thane of the Pale,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000176,permanent_follower_candidate,Iona,base_game,Followers - Housecarls,,Become Thane of the Rift,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000177,permanent_follower_candidate,Jordis the Sword-Maiden,base_game,Followers - Housecarls,,Become Thane of Haafingar,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000178,permanent_follower_candidate,Lydia,base_game,Followers - Housecarls,,Dragon Rising,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000179,permanent_follower_candidate,Rayya HF,base_game,Followers - Housecarls,,Become Thane of Falkreath,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000180,permanent_follower_candidate,Valdimar HF,base_game,Followers - Housecarls,,Become Thane of Hjaalmarch,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000181,permanent_follower_candidate,Borgakh the Steel Heart,base_game,Followers - Orc Stronghold Followers,,Pay her dowry or pass a persuade check.,Follower eligibility,marry=Yes | blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000182,permanent_follower_candidate,Ghorbash the Iron Hand,base_game,Followers - Orc Stronghold Followers,,"Convince him (via brawl, persuade check, or bribe).",Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000183,permanent_follower_candidate,Lob,base_game,Followers - Orc Stronghold Followers,,The Cursed Tribe,Follower eligibility,blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000184,permanent_follower_candidate,Ogol,base_game,Followers - Orc Stronghold Followers,,The Cursed Tribe,Follower eligibility,blades=Yes | steward hf=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000185,permanent_follower_candidate,Ugor,base_game,Followers - Orc Stronghold Followers,,The Cursed Tribe,Follower eligibility,blades=Yes,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000186,permanent_follower_candidate,Adelaisa Vendicci,base_game,Followers - Miscellaneous Followers,,Rise in the East,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000187,permanent_follower_candidate,Ahtar,base_game,Followers - Miscellaneous Followers,,Kill the Bandit Leader †,Follower eligibility,blades=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000188,permanent_follower_candidate,Annekke Crag-Jumper,base_game,Followers - Miscellaneous Followers,,Kill the Bandit Leader †,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000189,permanent_follower_candidate,Aranea Ienith,base_game,Followers - Miscellaneous Followers,,The Black Star (in her favor),Follower eligibility,blades=Yes | moral=0 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000190,permanent_follower_candidate,Benor,base_game,Followers - Miscellaneous Followers,,Fight! Fight!,Follower eligibility,marry=Yes | blades=Yes | moral=0 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000191,permanent_follower_candidate,Cosnach,base_game,Followers - Miscellaneous Followers,,Quest all Drunks Have ( or ) Fight! Fight!,Follower eligibility,marry=Yes | blades=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000192,permanent_follower_candidate,Derkeethus,base_game,Followers - Miscellaneous Followers,,Extracting an Argonian,Follower eligibility,marry=Yes | blades=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000193,permanent_follower_candidate,Eola,base_game,Followers - Miscellaneous Followers,,The Taste of Death,Follower eligibility,blades=Yes | steward hf=Yes | moral=0 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000194,permanent_follower_candidate,Erandur,base_game,Followers - Miscellaneous Followers,,Waking Nightmare (in his favor),Follower eligibility,blades=Yes | moral=3 | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000195,permanent_follower_candidate,Faendal,base_game,Followers - Miscellaneous Followers,,A Lovely Letter (in his favor),Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000196,permanent_follower_candidate,Kharjo,base_game,Followers - Miscellaneous Followers,,Amulet of the Moon,Follower eligibility,blades=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000197,permanent_follower_candidate,Mjoll the Lioness,base_game,Followers - Miscellaneous Followers,,Grimsever's Return,Follower eligibility,marry=Yes | blades=Yes | moral=0 | max level=40,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000198,permanent_follower_candidate,Roggi Knot-Beard,base_game,Followers - Miscellaneous Followers,,Dungeon Delving (Caves) †,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | moral=3 | max level=20,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000199,permanent_follower_candidate,Sven,base_game,Followers - Miscellaneous Followers,,A Lovely Letter (in his favor),Follower eligibility,blades=Yes | steward hf=Yes | moral=2 | max level=20,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000200,permanent_follower_candidate,Uthgerd the Unbroken,base_game,Followers - Miscellaneous Followers,,Fight! Fight!,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | moral=3 | max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000201,animal_follower_candidate,Armored Troll DG,base_game,Followers - Creatures,,Can be purchased from Gunmar in Fort Dawnguard for 500 gold. You may be given an Armored Frost Troll instead.,Follower eligibility,max level=14,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000202,animal_follower_candidate,Armored Frost Troll DG,base_game,Followers - Creatures,,Can be purchased from Gunmar in Fort Dawnguard for 500 gold. You may be given an Armored Troll instead.,Follower eligibility,max level=22,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000203,animal_follower_candidate,Bran DG,base_game,Followers - Creatures,,An armored husky in Fort Dawnguard.,Follower eligibility,pet hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000204,animal_follower_candidate,CuSith DG,base_game,Followers - Creatures,,A Death Hound in Volkihar Keep .,Follower eligibility,max level=5,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000205,animal_follower_candidate,Garmr DG,base_game,Followers - Creatures,,A Death Hound in Volkihar Keep.,Follower eligibility,max level=5,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000206,animal_follower_candidate,Meeko,base_game,Followers - Creatures,,A dog that can be found at Meeko's Shack .,Follower eligibility,pet hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000207,animal_follower_candidate,Sceolang DG,base_game,Followers - Creatures,,An armored husky in Fort Dawnguard.,Follower eligibility,pet hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000208,animal_follower_candidate,Stray Dog,base_game,Followers - Creatures,,"These can be found in a random encounter in the wilderness. If you talk to one, it will become your follower. Note: Is prone to disappearing on changing cells, being told to wait, or being told to go home unless already claimed as a pet by an adopted child.",Follower eligibility,pet hf=Yes | max level=25,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000209,animal_follower_candidate,Vigilance,base_game,Followers - Creatures,,"A dog which can be purchased from Banning at the Markarth stables for 500 gold. As with the hirelings, if you dismiss Vigilance, he will return to Banning and you must pay the 500 gold again to get him back.",Follower eligibility,pet hf=Yes | max level=50,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
