audit_area,check_id,source_file,source_section,row_label,check_type,guide_locations,audit_status,recommended_action,evidence,notes
section_walkthrough,TB042-SECTION-061,drafts/final-guide/main-guide-v1.md,"Temple of Miraak, Skaal, and Stalhrim","Temple of Miraak, Skaal, and Stalhrim",section_executability,"Temple of Miraak, Skaal, and Stalhrim",pass_section_executable,none,27 numbered steps; support cues found: rotating manual save; hard save; food; rest; bed; store; carry; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-062,drafts/final-guide/main-guide-v1.md,"Vahlok's Tomb, Riekling Roads, and Thirsk","Vahlok's Tomb, Riekling Roads, and Thirsk",section_executability,"Vahlok's Tomb, Riekling Roads, and Thirsk",pass_section_executable,none,25 numbered steps; support cues found: rotating manual save; hard save; food; store; carry; hot food; cold gear.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-063,drafts/final-guide/main-guide-v1.md,"Tel Mithryn, Nchardak, and Kagrumez","Tel Mithryn, Nchardak, and Kagrumez",section_executability,"Tel Mithryn, Nchardak, and Kagrumez",pass_section_executable,none,42 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; store; storage; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-064,drafts/final-guide/main-guide-v1.md,Kolbjorn Excavation and Raven Rock West,Kolbjorn Excavation and Raven Rock West,section_executability,Kolbjorn Excavation and Raven Rock West,pass_section_executable,none,31 numbered steps; support cues found: rotating manual save; hard save; food; sleep; store; carry; hot food; cold gear.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-065,drafts/final-guide/main-guide-v1.md,"Fahlbtharz, Deathbrand, and Karstaag","Fahlbtharz, Deathbrand, and Karstaag",section_executability,"Fahlbtharz, Deathbrand, and Karstaag",pass_section_executable,none,16 numbered steps; support cues found: rotating manual save; food; rest; bed; store; carry; hot food; cold gear.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-066,drafts/final-guide/main-guide-v1.md,Ghosts of the Tribunal and Trueflame,Ghosts of the Tribunal and Trueflame,section_executability,Ghosts of the Tribunal and Trueflame,pass_section_executable,none,23 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; inn; store; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-067,drafts/final-guide/main-guide-v1.md,"Bittercup, the Pit, and Fortunate Son","Bittercup, the Pit, and Fortunate Son",section_executability,"Bittercup, the Pit, and Fortunate Son",pass_section_executable,none,19 numbered steps; support cues found: rotating manual save; hard save; food; healing; sleep; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-068,drafts/final-guide/main-guide-v1.md,"Miraak Finale, Lost Knowledge, and Last Black Books","Miraak Finale, Lost Knowledge, and Last Black Books",section_executability,"Miraak Finale, Lost Knowledge, and Last Black Books",pass_section_executable,none,22 numbered steps; support cues found: rotating manual save; hard save; food; healing; sleep; store; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-069,drafts/final-guide/main-guide-v1.md,Vampire Lord Mastery and Rising at Dawn Closeout,Vampire Lord Mastery and Rising at Dawn Closeout,section_executability,Vampire Lord Mastery and Rising at Dawn Closeout,pass_section_executable,none,10 numbered steps; support cues found: rotating manual save; food; healing; sleep; bed; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-070,drafts/final-guide/main-guide-v1.md,World-Eater's Eyrie and Dragonslayer,World-Eater's Eyrie and Dragonslayer,section_executability,World-Eater's Eyrie and Dragonslayer,pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-071,drafts/final-guide/main-guide-v1.md,High-Risk AE Routes and Separate Worldspaces,High-Risk AE Routes and Separate Worldspaces,section_executability,High-Risk AE Routes and Separate Worldspaces,pass_section_executable,none,29 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-072,drafts/final-guide/main-guide-v1.md,"Saints, Seducers, and Atronach Forge Tomes","Saints, Seducers, and Atronach Forge Tomes",section_executability,"Saints, Seducers, and Atronach Forge Tomes",pass_section_executable,none,24 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-073,drafts/final-guide/main-guide-v1.md,Black Book Defaults and Progression Switches,Black Book Defaults and Progression Switches,section_executability,Black Book Defaults and Progression Switches,pass_section_executable,none,9 numbered steps; support cues found: rotating manual save; food; healing; rest; sleep; storage; support stop.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-074,drafts/final-guide/main-guide-v1.md,Legends Lost and Sightless Vault,Legends Lost and Sightless Vault,section_executability,Legends Lost and Sightless Vault,pass_section_executable,none,11 numbered steps; support cues found: hard save; food; healing; rest; storage; carry; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-075,drafts/final-guide/main-guide-v1.md,Late Location Reconciliation,Late Location Reconciliation,section_executability,Late Location Reconciliation,pass_non_executable_handoff_section,none,Section explicitly says there is no standalone sweep and points the player to the named reconciliation blocks below.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-076,drafts/final-guide/main-guide-v1.md,Collectible Reconciliation,Collectible Reconciliation,section_executability,Collectible Reconciliation,pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; hard save; bed; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-077,drafts/final-guide/main-guide-v1.md,"Books, Spells, and Documents","Books, Spells, and Documents",section_executability,"Books, Spells, and Documents",pass_section_executable,none,14 numbered steps; support cues found: rotating manual save; food; healing; rest; sleep; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-078,drafts/final-guide/main-guide-v1.md,"Crafting, Enchanting, Alchemy, and Investments","Crafting, Enchanting, Alchemy, and Investments",section_executability,"Crafting, Enchanting, Alchemy, and Investments",pass_section_executable,none,10 numbered steps; support cues found: hard save; food; healing; rest; sleep; bed; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-079,drafts/final-guide/main-guide-v1.md,Level 78 and Level 80 Gates,Level 78 and Level 80 Gates,section_executability,Level 78 and Level 80 Gates,pass_section_executable,none,15 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-080,drafts/final-guide/main-guide-v1.md,All-Perks Loop,All-Perks Loop,section_executability,All-Perks Loop,pass_section_executable,none,12 numbered steps; support cues found: hard save; food; healing; rest; sleep; bed; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-081,drafts/final-guide/main-guide-v1.md,Late Hold Bounty Representatives,Late Hold Bounty Representatives,section_executability,Late Hold Bounty Representatives,pass_section_executable,none,5 numbered steps; support cues found: hard save; food; healing; rest; inn; store; storage; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-082,drafts/final-guide/main-guide-v1.md,Urag's Late College Repeatables,Urag's Late College Repeatables,section_executability,Urag's Late College Repeatables,pass_section_executable,none,5 numbered steps; support cues found: rotating manual save; hard save; rest; sleep; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-083,drafts/final-guide/main-guide-v1.md,The Gray Cowl of Nocturnal,The Gray Cowl of Nocturnal,section_executability,The Gray Cowl of Nocturnal,pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-084,drafts/final-guide/main-guide-v1.md,"Homes, Household, Services, Pets, and Mounts","Homes, Household, Services, Pets, and Mounts",section_executability,"Homes, Household, Services, Pets, and Mounts",pass_section_executable,none,48 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-085,drafts/final-guide/main-guide-v1.md,Master Criminal Trophy Branch,Master Criminal Trophy Branch,section_executability,Master Criminal Trophy Branch,pass_section_executable,none,7 numbered steps; support cues found: hard save; healing; rest; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-086,drafts/final-guide/main-guide-v1.md,Final Reconciliation,Final Reconciliation,section_executability,Final Reconciliation,pass_section_executable,none,24 numbered steps; support cues found: hard save; food; rest; sleep; bed; inn; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
previous_qa_integration,TB042-QA-038,data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv,Full artifact,TB-038/TB-038R order and delayed-task QA,prior_qa_action_state,QA artifact,pass_previous_qa_with_explicit_route_resolution,none,"none: 2790, none_existing_route_resolution: 235, none_local_save: 31",TB-042 treats prior QA repair actions as practical playtest blockers unless they are already no-action or explicit route-resolution states.
previous_qa_integration,TB042-QA-039,data/guide-coverage/main-guide-v1-trophy-leveled-cell-audit.csv,Full artifact,"TB-039 trophy, leveled-item, and cell-entry QA",prior_qa_action_state,QA artifact,pass_previous_qa_with_explicit_route_resolution,none,"none: 1141, none_existing_route_resolution: 50",TB-042 treats prior QA repair actions as practical playtest blockers unless they are already no-action or explicit route-resolution states.
previous_qa_integration,TB042-QA-040,data/guide-coverage/main-guide-v1-survival-legendary-audit.csv,Full artifact,TB-040 Survival/Legendary QA,prior_qa_action_state,QA artifact,pass_previous_qa_with_explicit_route_resolution,none,"none: 205, none_existing_route_resolution: 1",TB-042 treats prior QA repair actions as practical playtest blockers unless they are already no-action or explicit route-resolution states.
previous_qa_integration,TB042-QA-041,data/guide-coverage/main-guide-v1-branch-spoiler-audit.csv,Full artifact,TB-041 branch/spoiler QA,prior_qa_action_state,QA artifact,pass_previous_qa_no_repair_actions,none,none: 119,TB-042 treats prior QA repair actions as practical playtest blockers unless they are already no-action or explicit route-resolution states.
route_resolution_visibility,TB042-ROUTE-RESOLUTION-001,data/guide-coverage/main-guide-v1-objective-final-status.csv,Final objective status,Explicit unresolved route-resolution register,known_route_resolution_risk,Final Reconciliation; Appendix I,pass_existing_route_resolution_visible,none_existing_route_resolution,"140 unresolved rows remain explicit; by category: ae_creation: 1, book_document: 45, collectible: 5, crafting_unlock: 12, location: 2, misc_objective: 33, npc_relationship: 2, spell_power: 4, trophy: 7, unique_item: 29",TB-042 does not resolve the register; TB-043 owns unresolved-risk reporting.
simulated_playtest_limits,TB042-LIMIT-001,drafts/final-guide/main-guide-v1.md,Full guide,Actual in-game execution not performed,manual_playtest_boundary,Full guide,pass_simulated_playtest_limit_recorded,none,"This is a document-level simulated playtest. It cannot prove live combat outcome, cash balance, loading behavior, trophy pops, or random target behavior.","Recorded as a TB-042 scope boundary, not as a guide defect."
simulated_playtest_limits,TB042-LIMIT-002,drafts/final-guide/main-guide-v1.md,Full guide,Source-neutral pass,source_boundary,Full guide,pass_simulated_playtest_limit_recorded,none,No broad gameplay research was performed. Concrete contradictions found in later play should be source-checked under docs/source-standards.md.,"Recorded as a TB-042 scope boundary, not as a guide defect."
