property_detail_id,parent_objective_id,property_name,property_group,detail_type,detail_name,source_content,worldspace,region,hold,location,prerequisite_or_trigger,acquisition_or_build_method,cost_or_materials,service_or_npc_dependency,feature_summary,safe_storage_status,display_or_collection_relevance,family_support,survival_mode_relevance,route_treatment,source_id,citations,notes
PROPDET-000045,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Fish tank,ae_creation,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,300 gold,City steward: Falk Firebeard,Creation Club/Fishing option adding one fish tank.,needs_validation_later,Fish display,Depends on relevant Creation content.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000046,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Fish plaques,ae_creation,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,200 gold,City steward: Falk Firebeard,Creation Club/Fishing option adding two fish plaques.,needs_validation_later,Fish display plaques,Depends on relevant Creation content.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000047,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Housecarl's Quarters,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,Become Thane of Haafingar,City steward: Falk Firebeard,Housecarl room for Jordis the Sword-Maiden.,source_lists_storage,,Housecarl room for Jordis the Sword-Maiden.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",thane_service_unlock,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000048,OBJ-001925,Severin Manor,dragonborn_home,ownership_summary,Severin Manor reward and facility summary,dragonborn,Solstheim,Raven Rock,Raven Rock,Raven Rock | Severin Manor,Complete Served Cold,Awarded by Councilor Morvayn as quest reward,0 gold; no purchasable upgrades,"No spouse, steward, adopted-child, or housecarl support listed","Comes with stocked enchanting, alchemy, smithing, and cooking areas; two bedrooms; plentiful storage; weapon plaques; display cases; mannequins.",source_lists_safe_home_storage,Weapon plaques; display cases; mannequins,No spouse or adopted-child support listed.,Solstheim home base after Raven Rock quest progression.,source_listed_detail,SRC-000063 | SRC-000043,SN-000074-property-city-and-severin-detail-expansion.md,"Bug and music note remain downstream validation, not route policy here."
PROPDET-000049,OBJ-000395,Lakeview Manor,hearthfire_homestead,ownership_summary,Lakeview Manor land purchase summary,hearthfire,Skyrim,Falkreath Hold,Falkreath Hold,North of Pinewatch,,Purchase plot after hold-specific Hearthfire prerequisites,"5,000 gold land purchase",Land purchased through Jarl Siddgeir or Jarl Dengeir of Stuhn / Falkreath steward; housecarl Rayya,Unique exterior apiary option.,construction_chest_source_listed,Display/crafting capacity depends on later room choices.,Can become family residence after required beds/chests are built.,"Lakeview Manor can become a regional home, sleep, storage, and carriage hub after construction/services.",source_listed_detail,SRC-000063 | SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Land prerequisite details remain in existing Hearthfire rows and later conflict/economy validation.
PROPDET-000050,OBJ-000396,Windstad Manor,hearthfire_homestead,ownership_summary,Windstad Manor land purchase summary,hearthfire,Skyrim,Hjaalmarch,Hjaalmarch,North of Ustengrav,,Purchase plot after hold-specific Hearthfire prerequisites,"5,000 gold land purchase",Land purchased through Jarl Idgrod Ravencrone or Sorli the Builder / Morthal steward; housecarl Valdimar,Unique exterior fish hatchery option.,construction_chest_source_listed,Display/crafting capacity depends on later room choices.,Can become family residence after required beds/chests are built.,"Windstad Manor can become a regional home, sleep, storage, and carriage hub after construction/services.",source_listed_detail,SRC-000063 | SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Land prerequisite details remain in existing Hearthfire rows and later conflict/economy validation.
PROPDET-000051,OBJ-000397,Heljarchen Hall,hearthfire_homestead,ownership_summary,Heljarchen Hall land purchase summary,hearthfire,Skyrim,The Pale,The Pale,South of Fort Dunstad,,Purchase plot after hold-specific Hearthfire prerequisites,"5,000 gold land purchase",Land purchased through Jarl Skald or Jarl Brina Merilis / Dawnstar steward; housecarl Gregor,Unique exterior grain mill option.,construction_chest_source_listed,Display/crafting capacity depends on later room choices.,Can become family residence after required beds/chests are built.,"Heljarchen Hall can become a regional home, sleep, storage, and carriage hub after construction/services.",source_listed_detail,SRC-000063 | SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Land prerequisite details remain in existing Hearthfire rows and later conflict/economy validation.
PROPDET-000052,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,construction_module,Small House Layout,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Own plot and use drafting table/carpenter workbench as required,Build at carpenter workbench,"4 Clay, 2 Hinges, 1 Iron Fittings, 1 Lock, 30 Nails, 30 Quarried Stone, 17 Sawn Logs (1 Corundum Ingot, 6 Iron Ingots)",Self-built; steward furnishing service is separate where available.,Initial homestead structure; completed house includes one chest even without extra furnishings.,source_lists_storage,,Family support depends on beds/chests and room choices.,Material weight and home storage affect Survival Mode route logistics.,material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,"Detailed per-furnishing item placement remains reference data, not route prose."
PROPDET-000053,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,construction_module,Main Hall,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Own plot and use drafting table/carpenter workbench as required,Build at carpenter workbench,"16 Clay, 2 Hinges, 1 Iron Fittings, 1 Lock, 85 Nails, 36 Quarried Stone, 47 Sawn Logs (1 Corundum Ingot, 11.5 Iron Ingots)",Self-built; steward furnishing service is separate where available.,"Major expansion containing broad crafting, bed, book, display, and container options when furnished.",source_lists_storage,"Bookshelf, mannequin, weapon plaques, display cases after relevant furnishings",Family support depends on beds/chests and room choices.,Material weight and home storage affect Survival Mode route logistics.,material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,"Detailed per-furnishing item placement remains reference data, not route prose."
PROPDET-000054,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,construction_module,Cellar,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Own plot and use drafting table/carpenter workbench as required,Build at carpenter workbench,"8 Sawn Logs, 50 Quarried Stone",Self-built; steward furnishing service is separate where available.,"Optional Main Hall addition; steward cannot furnish Cellar, so self-build planning is required.",needs_validation_later,Aquarium/fishing display support if CC addition is built,Family support depends on beds/chests and room choices.,Material weight and home storage affect Survival Mode route logistics.,material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,"Detailed per-furnishing item placement remains reference data, not route prose."
PROPDET-000055,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,construction_module,Remodel House into Entryway,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Own plot and use drafting table/carpenter workbench as required,Build at carpenter workbench,No materials,Self-built; steward furnishing service is separate where available.,Available after Main Hall steps are complete; clears nearly anything already furnished inside and changes furnishing options.,not_applicable,,Family support depends on beds/chests and room choices.,Material weight and home storage affect Survival Mode route logistics.,warning_deferred,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,"Detailed per-furnishing item placement remains reference data, not route prose."
PROPDET-000056,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,construction_module,Aquarium,ae_creation,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Own plot and use drafting table/carpenter workbench as required,Build at carpenter workbench,"4 Sawn Logs, 25 Quarried Stone",Self-built; steward furnishing service is separate where available.,Creation Club/Fishing addition to the Main Hall cellar for fish tanks and plaques.,needs_validation_later,Fish tanks and plaques,Family support depends on beds/chests and room choices.,Material weight and home storage affect Survival Mode route logistics.,material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,"Detailed per-furnishing item placement remains reference data, not route prose."
PROPDET-000057,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Animal Pen,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,Sawn Log,,Adds tanning rack; allows cows and chickens through steward services.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000058,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Armorer Workbench,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"2 Quarried Stone, Iron Ingot, Sawn Log",,Adds exterior armor workbench.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000059,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Apiary,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"2 Sawn Logs, Nails, 2 Straw",,Only available at Lakeview Manor.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000060,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Fish Hatchery,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"3 Quarried Stone, 3 Sawn Logs, 4 Nails",,Only available at Windstad Manor.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000061,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Mill,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"2 Quarried Stone, 2 Sawn Logs, 2 Iron Fittings",,Only available at Heljarchen Hall; appears as Grain Mill and can make Sack of Flour.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000062,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Garden,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,Sawn Log,,Adds 11 fertile soil plots.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000063,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Grindstone,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"Quarried Stone, Sawn Log, Iron Fittings",,Adds exterior grindstone.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000064,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Smelter,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"2 Iron Fittings, 5 Iron Ingots, 6 Clay, 4 Quarried Stone",,Adds smelter; Windstad version also adds anvil.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000065,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,exterior_construction,Stable,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Small House Layout complete,Build at exterior carpenter workbench,"3 Sawn Logs, 5 Nails",,Required before steward can buy a homestead horse; Windstad version includes one barrel for storage.,needs_validation_later,"Crafting, garden, livestock, or travel service relevance varies by option.",,"Exterior amenities can affect food, crafting, horse travel, and material logistics.",material_planning_row,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Unique-property availability noted in feature summary where applicable.
PROPDET-000066,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,East Wing: Armory,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 14 Nails, 18 Quarried Stone, 14 Sawn Logs (3 Corundum Ingots, 10.4 Iron Ingots)",,"High display/crafting value: mannequins, weapon plaques/racks, display cases, workbench/grindstone/tanning racks possible.",needs_validation_later,"High display/crafting value: mannequins, weapon plaques/racks, display cases, workbench/grindstone/tanning racks possible.",,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000067,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,East Wing: Kitchen,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 4 Hinges, 2 Iron Fittings, 2 Locks, 20 Nails, 14 Quarried Stone, 18 Sawn Logs (2 Corundum Ingots, 8 Iron Ingots)",,"Food-production value: cooking/baking support, oven, churn, and storage possible.",needs_validation_later,,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000068,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,East Wing: Library,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","9 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 34 Nails, 16 Quarried Stone, 24 Sawn Logs (3 Corundum Ingots, 12.4 Iron Ingots)",,Large book display/storage value: up to 308 books when fully furnished.,needs_validation_later,Large book display/storage value: up to 308 books when fully furnished.,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000069,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,North Wing: Alchemy Laboratory,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","9 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 34 Nails, 16 Quarried Stone, 24 Sawn Logs (3 Corundum Ingots, 12.4 Iron Ingots)",,Alchemy crafting value and storage/display support.,needs_validation_later,Alchemy crafting value and storage/display support.,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000070,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,North Wing: Storage Room,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 14 Nails, 18 Quarried Stone, 14 Sawn Logs (3 Corundum Ingots, 10.4 Iron Ingots)",,Storage-heavy option.,needs_validation_later,,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000071,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,North Wing: Trophy Room,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 4 Hinges, 2 Iron Fittings, 2 Locks, 20 Nails, 14 Quarried Stone, 18 Sawn Logs (2 Corundum Ingots, 8 Iron Ingots)",,Trophy display option.,needs_validation_later,Trophy display option.,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000072,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,West Wing: Bedrooms,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 14 Nails, 18 Quarried Stone, 14 Sawn Logs (3 Corundum Ingots, 10.4 Iron Ingots)",,Family-support option with child beds/chests and additional room support when furnished.,needs_validation_later,,Bedrooms is the main wing option with direct family-home relevance.,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000073,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,West Wing: Enchanter's Tower,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","9 Clay, 6 Hinges, 3 Iron Fittings, 3 Locks, 34 Nails, 16 Quarried Stone, 24 Sawn Logs (3 Corundum Ingots, 12.4 Iron Ingots)",,Enchanting crafting value and tower display/storage support.,needs_validation_later,Enchanting crafting value and tower display/storage support.,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000074,OBJ-000407,All Hearthfire homesteads,hearthfire_construction,wing_choice,West Wing: Greenhouse,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Main Hall complete,"Choose one option for this wing at drafting table, then build at carpenter workbench","3 Clay, 4 Hinges, 2 Iron Fittings, 2 Locks, 20 Nails, 14 Quarried Stone, 18 Sawn Logs (2 Corundum Ingots, 8 Iron Ingots)",,Ingredient-production value with plantable plots when furnished.,needs_validation_later,,,"Wing choice affects storage, crafting, food/ingredient production, and family logistics.",mutually_exclusive_wing_choice,SRC-000032,SN-000075-hearthfire-construction-service-detail-expansion.md,Final default wing layouts are a later writer recommendation; Master Architect requires three wings on each house.
PROPDET-000075,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Small House,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1000 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000076,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Entry Room,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1000 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000077,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Main Hall,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,3500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000078,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Alchemy Laboratory,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,2500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000079,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Armory,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,2000 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000080,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Bedrooms,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,2000 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000081,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Enchanter's Tower,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,2500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000082,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Greenhouse,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000083,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Kitchen,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000084,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Library,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1500 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
PROPDET-000085,OBJ-000407,All Hearthfire homesteads,hearthfire_service,steward_furnishing_service,Steward furnishes Storage Room,hearthfire,Skyrim,Hearthfire homesteads,,Lakeview Manor | Windstad Manor | Heljarchen Hall,Personal steward assigned; relevant section built,Pay steward to furnish over time,1000 gold,Personal steward,Steward eventually adds all possible furnishings to that section; route must choose self-building if selective furnishings matter.,needs_validation_later,Depends on section.,Bedrooms and family spaces affect adoption/home assignment.,Outsourcing furnishings trades gold/time for material and carry relief.,service_option,SRC-000032 | SRC-000245,SN-000075-hearthfire-construction-service-detail-expansion.md,Cellar remains excluded from steward furnishing service and must be self-furnished.
